Command Name Abbreviation,Command Name Long,Record Status
H SP OP                                                     ,HB SPECIAL OPERATIONS SECTION,Active
H VANDL                                                     ,NA,Inactive
H&W EAU                                                     ,H&W EMPLOYEE ASSISTANCE UNIT,Active
H&WELL                                                      ,NA,Inactive
H&WELL POPPA                                                ,H&WELL POPPA LIAISON,Active
HARBOR                                                      ,HARBOR UNIT,Active
HAZ WMD                                                     ,HAZMAT/WEAPONS OF MASS DESTRUCTION,Active
HB                                                          ,HOUSING BUREAU,Active
HB SPEC                                                     ,NA,Inactive
HBK IRT                                                     ,NA,Inactive
HBK RT                                                      ,HB BROOKLYN RESPONSE TEAM,Active
HBM                                                         ,HOUSING BOROUGH MANHATTAN,Active
HBM IRT                                                     ,NA,Inactive
HBM RT                                                      ,HB MANHATTAN RESPONSE TEAM,Active
HBX/QIM                                                     ,NA,Inactive
HBXQ RT                                                     ,HB BRONX/QUEENS RESPONSE TEAM,Active
HBXQIRT                                                     ,NA,Inactive
HLTH & WELL                                                 ,HEALTH & WELLNESS SECTION,Active
HLTH INS                                                    ,HEALTH INSURANCE SECTION,Active
HOMLESS                                                     ,NA,Inactive
HOMLESS                                                     ,NA,Inactive
HOSS                                                        ,NA,Inactive
HOST NEG                                                    ,SID HOSTAGE NEGOTIATION TEAM,Active
HOU                                                         ,NA,Inactive
HQ CUST                                                     ,NA,Inactive
HQ SEC                                                      ,HEADQUARTERS SECURITY UNIT,Active
HSG BUR                                                     ,NA,Inactive
HWY 01                                                      ,HIGHWAY UNIT NO 1,Active
HWY 02                                                      ,HIGHWAY UNIT NO 2,Active
HWY 03                                                      ,HIGHWAY UNIT NO 3,Active
HWY 04                                                      ,NA,Inactive
HWY 05                                                      ,NA,Inactive
HWY 5                                                       ,HIGHWAY UNIT 5,Active
HWY CIS                                                     ,HWY DST COLLISION INV SQD,Active
HWY DIST                                                    ,HIGHWAY DISTRICT,Active
HWY DST                                                     ,NA,Inactive
HWY DST CTG                                                 ,HWY DIST COLLISION TECH GROUP,Active
HWY DST STS                                                 ,HIGHWAY DISTRICT SPECIALIZED TRAINING SCHOOL,Active
I T B                                                       ,NA,Inactive
I T S D                                                     ,NA,Inactive
I.A.B.                                                      ,NA,Inactive
IAB                                                         ,INTERNAL AFFAIRS BUREAU,Active
IAB ADMIN                                                   ,IAB ADMINISTRATION,Active
IAB CMD CTR                                                 ,IAB COMMAND CENTER,Active
IAB CRIM INV                                                ,IAB CRIMINAL INVESTIGATIONS,Active
IAB GRP 1                                                   ,IAB GROUP 1,Active
IAB GRP 10                                                  ,IAB GROUP 10,Active
IAB GRP 12                                                  ,IAB GROUP 12,Active
IAB GRP 21                                                  ,IAB GROUP 21,Active
IAB GRP 22                                                  ,IAB GROUP 22,Active
IAB GRP 26                                                  ,IAB GROUP 26,Active
IAB GRP 27                                                  ,IAB GROUP 27,Active
IAB GRP 31                                                  ,IAB GROUP 31,Active
IAB GRP 32                                                  ,IAB GROUP 32,Active
IAB GRP 33                                                  ,IAB GROUP 33,Active
IAB GRP 34                                                  ,IAB GROUP 34,Active
IAB GRP 41                                                  ,IAB GROUP 41,Active
IAB GRP 42                                                  ,IAB GROUP 42,Active
IAB GRP 52                                                  ,IAB GROUP 52,Active
IAB GRP 53                                                  ,IAB GROUP 53,Active
IAB GRP 54                                                  ,IAB GROUP 54,Active
IAB GRP 56                                                  ,IAB GROUP 56,Active
IAB GRP 9                                                   ,IAB GROUP 9,Active
IAB RESOURCE                                                ,IAB RESOURCES,Active
IAB SPEC OPS                                                ,IAB SPECIAL OPERATIONS,Active
IAB Z1                                                      ,IAB ZONE 1,Active
IAB Z2                                                      ,IAB ZONE 2,Active
IAB Z3                                                      ,IAB ZONE 3,Active
ID SECT                                                     ,IDENTIFICATION SECTION,Active
ID THEFT SQD                                                ,IDENTITY THEFT SQUAD,Active
IG COORD UNIT                                               ,INSP GENERAL COORD UNIT,Active
INSRVTR                                                     ,NA,Inactive
INSUPDV                                                     ,NA,Inactive
INT BUR                                                     ,NA,Inactive
INT CIS                                                     ,CRIMINAL INTELLIGENCE SECTION,Active
INT CIS                                                     ,NA,Inactive
INT DIV                                                     ,NA,Inactive
INT EPU                                                     ,EXECUTIVE PROTECTION UNIT,Active
INT FIO PRG                                                 ,INTEL CIS FIO PROGRAM,Active
INT MSS                                                     ,NA,Inactive
INT OAS                                                     ,NA,Inactive
INT PSS                                                     ,NA,Inactive
INT RIC                                                     ,NA,Inactive
INT RIS                                                     ,NA,Inactive
INT SDU                                                     ,SENSITIVE DATA UNIT,Active
INT UOU                                                     ,UNIFORMED OPERATIONS UNIT,Active
INTEL BUR                                                   ,INTELLIGENCE BUREAU,Active
INTEL INV                                                   ,INTELLIGENCE BUREAU INVESTIGATIONS UNIT,Active
INV REVIEW                                                  ,COD INVESTIGATION REVIEW SECTION,Active
INV SUP                                                     ,INVESTIGATIVE SUPPORT SECTION,Active
IT PRGM MGMT                                                ,IT PROGRAM MANAGEMENT,Active
ITB                                                         ,INFORMATION TECHNOLOGY BUREAU,Active
ITB ADM DIV                                                 ,ITB ADMINISTRATIVE DIVISION,Active
ITB INV                                                     ,ITB INVESTIGATIONS UNIT,Active
ITSD                                                        ,INFO TECHNOLOGY SERVICES DIV,Active
JB/R/TF                                                     ,JOINT BANK ROB T/F,Active
JFK TF                                                      ,CEIS JFK TASK FORCE,Active
JOINT ORG CRM TF                                            ,CEIS JOINT ORGANIZED CRIME TASK FORCE,Active
JT T/F                                                      ,NA,Inactive
JTTF                                                        ,JOINT TERRORIST TASK FORCE,Active
JUV CRM                                                     ,JUVENILE CRIME SECTION,Active
L S S D                                                     ,NA,Inactive
L.I.M.S                                                     ,LEAVE INTEGRITY MGT. SECTION,Active
LAB EVID&SECTY                                              ,LAB EVIDENCE CTRL & SECURITY,Active
LAB FIREARMS                                                ,POL LAB FIREARMS ANALYSIS SEC,Active
LATE PTRL TD 2                                              ,ATU LATE TOUR PATROL TD 2,Active
LB BWC LU                                                   ,LB BODY WORN CAMERA LEGAL UNIT,Active
LB PALS                                                     ,POLICE ACTION LITIGATION SECTION,Active
LDS DEV                                                     ,NA,Inactive
LDS TRN                                                     ,NA,Inactive
LEADER TRN                                                  ,LEADERSHIP TRAINING SECTION,Active
LEG BUR                                                     ,LEGAL BUREAU,Active
LIC DIV                                                     ,LICENSE DIVISION,Active
LMSI PMO                                                    ,LMSI PROJECT MANAGEMENT OFFICE,Active
LSSD                                                        ,LIFE-SAFETY SYSTEMS DIVISION,Active
M CHILD                                                     ,MANHATTAN CHILD ABUSE SQUAD,Active
M COURT                                                     ,MAN COURT SECTION,Active
M E L D                                                     ,NA,Inactive
M I S D                                                     ,NA,Inactive
M SVS                                                       ,MANHATTAN SPECIAL VICTIMS SQUAD,Active
M TRANS RB SQD                                              ,MANHATTAN TRANSIT ROBBERY SQD,Active
M WARRANT SQD                                               ,MANHATTAN WARRANT SQD,Active
M/N-NE                                                      ,NA,Inactive
M/N-NW                                                      ,NA,Inactive
M/S-DND                                                     ,NA,Inactive
M/S-ND                                                      ,NA,Inactive
MAH IMP                                                     ,NA,Inactive
MAILDIS                                                     ,NA,Inactive
MAJOR INV SQD                                               ,CEIS MAJOR INVESTIGATION SQUAD,Active
MAN CT                                                      ,NA,Inactive
MB SSZC                                                     ,NA,Inactive
MB SSZN                                                     ,NA,Inactive
MC/SQD                                                      ,MAJOR CASE SQUAD,Active
MCS CHILD EXP                                               ,NYPD/FBI CHILD EXPL & HTTF,Active
MCS HUMAN TR                                                ,HUMAN TRAFFICKING UNIT,Active
MED DIV                                                     ,MEDICAL DIVISION,Active
MELD                                                        ,MILITARY & EXTENDED LEAVE DESK,Active
MGMT ANL                                                    ,MANAGEMENT ANALYSIS SECTION,Active
MN CRIME ANL                                                ,MN CRIME ANALYSIS UNIT,Active
MN GRAND LARC                                               ,MANHATTAN NORTH GRAND LARCENY SQD,Active
MN IRT                                                      ,NA,Inactive
MN OP NIGHT                                                 ,MANHATTAN NORTH OPER NIGHT WATCH,Active
MN SU AC                                                    ,MN ANTI-CRIME UNIT,Active
MN SU ALU                                                   ,MN AUTO LARCENY UNIT,Active
MN SU ECT                                                   ,MN EVIDENCE COLLECTION TEAM,Active
MN VICE                                                     ,MANHATTAN NORTH VICE MODULE,Active
MNROBSQ                                                     ,MANH ROBBERY SQUAD,Active
MODS                                                        ,MGMT ORDERS & DIRECTIVES SECTION,Active
MONEY LAUND                                                 ,CEIS MONEY LAUNDERING UNIT,Active
MOUNTED                                                     ,MOUNTED UNIT,Active
MP SQD                                                      ,MISSING PERSONS SQUAD,Active
MS CRIME ANL                                                ,MS CRIME ANALYSIS UNIT,Active
MS GRAND LARC                                               ,MANHATTAN SOUTH GRAND LARCENY SQD,Active
MS OP NIGHT                                                 ,MANHATTAN SOUTH OPER NIGHT WATCH,Active
MS SU BLARE                                                 ,MS BLARE TEAM,Active
MS SU ECT                                                   ,MS EVIDENCE COLLECTION TEAM,Active
MS TIMES SQ                                                 ,TIMES SQUARE UNIT,Active
MS VICE                                                     ,MANHATTAN SOUTH VICE MODULE,Active
MTN DET                                                     ,MTN DET SQUAD,Active
MTN PCT                                                     ,018 PCT-MIDTOWN NO. PCT,Active
MTS DET                                                     ,MTS DET SQUAD,Active
MTS PCT                                                     ,014 PCT-MIDTOWN SO. PCT,Active
MUNI SECUR                                                  ,MUNICIPAL SECURITY SECTION,Active
NAR DIV                                                     ,NA,Inactive
NARC SI                                                     ,NARC BORO STATEN ISLAND,Active
NARCBBN                                                     ,NARC BORO BROOKLYN NORTH,Active
NARCBBS                                                     ,NARC BORO BROOKLYN SOUTH,Active
NARCBBX                                                     ,NARC BORO BRONX,Active
NARCBMN                                                     ,NARC BORO MANHATTAN NORTH,Active
NARCBMS                                                     ,NARC BORO MANHATTAN SOUTH,Active
NARCBQN                                                     ,NARC BORO QUEENS NORTH,Active
NARCBQS                                                     ,NARC BORO QUEENS SOUTH,Active
NARCBSI                                                     ,NA,Inactive
NARCO CANINE                                                ,NARCOTICS CANINE UNIT,Active
NBBN MAJOR                                                  ,NARC BORO BROOKLYN NORTH MAJOR CASE UNIT,Active
NBBN NITRO                                                  ,NARC BORO BROOKLYN NORTH NITRO,Active
NBBN ZN 15                                                  ,NARC BORO BROOKLYN NORTH ZONE 15,Active
NBBS MAJOR                                                  ,NARC BORO BROOKLYN SOUTH MAJOR CASE UNIT,Active
NBBX MAJOR                                                  ,NARC BORO BRONX MAJOR CASE UNIT,Active
NBBX ZN 8                                                   ,NARC BORO BRONX ZONE 8,Active
NBMN MAJOR                                                  ,NARC BORO MANHATTAN NORTH MAJOR CASE UNIT,Active
NBMS MAJOR                                                  ,NARC BORO MANHATTAN SOUTH MAJOR CASE UNIT,Active
NBQN MAJOR                                                  ,NARC BORO QUEENS NORTH MAJOR CASE UNIT,Active
NBQS MAJOR                                                  ,NARC BORO QUEENS SOUTH MAJOR CASE UNIT,Active
NBQS ZN 17                                                  ,NARC BORO QUEENS SOUTH ZONE 17,Active
NBQS ZN 24                                                  ,NARC BORO QUEENS SOUTH ZONE 24,Active
NBSI MAJOR                                                  ,NARC BORO STATEN ISLAND MAJOR CASE UNIT,Active
ND BKSI                                                     ,NA,Inactive
ND BXCI                                                     ,NA,Inactive
ND BXSI                                                     ,NA,Inactive
ND CH I                                                     ,NA,Inactive
ND EH I                                                     ,NA,Inactive
ND NMI                                                      ,NA,Inactive
ND Q/NI                                                     ,NA,Inactive
ND SEQI                                                     ,NA,Inactive
ND SI I                                                     ,NA,Inactive
NYPDFBI FCTF                                                ,NYPD/FBI FINANCIAL CRIMES TF,Active
O C C B                                                     ,NA,Inactive
O C I D                                                     ,NA,Inactive
O M A P                                                     ,NA,Inactive
O T S D                                                     ,NA,Inactive
O.E.M.                                                      ,NA,Inactive
OCDE-SF                                                     ,NA,Inactive
OCME LIAISON                                                ,OCME LIAISON UNIT,Active
OEEO                                                        ,NA,Inactive
OFF CSO                                                     ,NA,Inactive
OFF DCSI                                                    ,OFFICE OF THE DEP COMM STRATEGIC INITIATIVES,Active
OFF I/T                                                     ,NA,Inactive
OFF OPS BUR                                                 ,OFFICE OF THE OPERATIONS BUREAU,Active
OFF SUPV CH SRG                                             ,OFFICE SUPV CHIEF SURGEON,Active
OFF/L R                                                     ,NA,Inactive
OFF/TRP                                                     ,NA,Inactive
OFFICE CCCS                                                 ,OFFICE OF THE CHIEF CRIME CONTROL STRATEGIES,Active
OFFICE DCEI                                                 ,OFFICE OF THE DEP COMM EQUITY & INCLUSION,Active
OFFICE DCT                                                  ,OFFICE OF THE DEP COMM TRIALS,Active
OFFICE PB                                                   ,OFFICE OF THE CHIEF OF PERSONNEL,Active
OFFICE PSB                                                  ,OFFICE OF PATROL SERVICES BUREAU,Active
OFFICE RMB                                                  ,OFFICE OF THE RISK MANAGEMENT BUREAU,Active
OFFICE TRANSIT                                              ,OFFICE OF THE CHIEF OF TRANSIT,Active
OFFICE TRNG                                                 ,OFFICE OF THE CHIEF OF TRAINING,Active
OFFICE TRP                                                  ,OFFICE OF THE CHIEF OF TRANSPORTATION,Active
OFSCSRG                                                     ,NA,Inactive
OMAP                                                        ,OFFICE OF MGMT ANALYSIS & PLANNING,Active
OPD                                                         ,OFFICE OF PROFESSIONAL DEVELOPMENT,Active
OPER RSRCH                                                  ,OPERATIONS RESEARCH SECTION,Active
OPER&ANALYSIS                                               ,OPERATIONS & ANALYSIS SECTION,Active
OPS BUR                                                     ,OPERATIONS BUREAU,Active
OPS EM PREP                                                 ,EMERGENCY PREP & EXERCISE SECTION,Active
OPS EPE                                                     ,NA,Inactive
OPS TSU                                                     ,OPS TECHNICAL SUPPORT UNIT,Active
OPS UN                                                      ,NA,Inactive
OPS UNIT                                                    ,OPERATIONS UNIT,Active
ORG THEFT SQD                                               ,ORGANIZED THEFT SQUAD,Active
P A T U                                                     ,NA,Inactive
P C C U                                                     ,NA,Inactive
P C O                                                       ,NA,Inactive
P S B                                                       ,PATROL SERVICES BUREAU,Active
P.E.R.L                                                     ,NA,Inactive
PA SITE&SECUR                                               ,PA SITE & SECURITY UNIT,Active
PA UPTU                                                     ,NA,Inactive
PAY SEC                                                     ,NA,Inactive
PAY&BEN                                                     ,PAYROLL & BENEFITS DIVISION,Active
PB                                                          ,PERSONNEL BUREAU,Active
PB CAD                                                      ,CANDIDATE ASSESSMENT DIVISION,Active
PB CAD                                                      ,NA,Inactive
PB CAS                                                      ,NA,Inactive
PB EMD                                                      ,NA,Inactive
PB ERS                                                      ,NA,Inactive
PB HCD                                                      ,NA,Inactive
PB HRD                                                      ,HUMAN RESOURCES DIVISION,Active
PB INV                                                      ,PB INVESTIGATIONS UNIT,Active
PB PAID DTL                                                 ,PB PAID DETAIL UNIT,Active
PB POD                                                      ,NA,Inactive
PB POS                                                      ,NA,Inactive
PB REC                                                      ,NA,Inactive
PB SAS                                                      ,NA,Inactive
PBBN                                                        ,PATROL BORO BKLYN NORTH,Active
PBBN AC                                                     ,NA,Inactive
PBBN INV UNIT                                               ,PBBN INVESTIGATIONS UNIT,Active
PBBN SC                                                     ,NA,Inactive
PBBN SCOOTER                                                ,PBBN SCOOTER TASK FORCE,Active
PBBN SECURITY                                               ,PBBN SECURITY DETAIL,Active
PBBN SU                                                     ,NA,Inactive
PBBN SU PST                                                 ,PBBN PUBLIC SAFETY TEAMS,Active
PBBN TF                                                     ,NA,Inactive
PBBS                                                        ,PATROL BORO BKLYN SOUTH,Active
PBBS AC                                                     ,NA,Inactive
PBBS INV                                                    ,PBBS INVESTIGATIONS,Active
PBBS SC                                                     ,NA,Inactive
PBBS SU                                                     ,NA,Inactive
PBBS SU PST                                                 ,PBBS PUBLIC SAFETY TEAMS,Active
PBBS TF                                                     ,NA,Inactive
PBBX                                                        ,PATROL BORO BRONX,Active
PBBX AC                                                     ,NA,Inactive
PBBX INV UNIT                                               ,PBBX INVESTIGATIONS UNIT,Active
PBBX SC                                                     ,NA,Inactive
PBBX SU                                                     ,NA,Inactive
PBBX SU PST                                                 ,PBBX PUBLIC SAFETY TEAMS,Active
PBBX TF                                                     ,NA,Inactive
PBBX YANKEE                                                 ,YANKEE STADIUM DETAIL,Active
PBBX ZOO                                                    ,BRONX ZOO DETAIL,Active
PBMN                                                        ,PATROL BORO MAN NORTH,Active
PBMN AC                                                     ,NA,Inactive
PBMN INV UNIT                                               ,PBMN INVESTIGATIONS UNIT,Active
PBMN SC                                                     ,NA,Inactive
PBMN SCOOT                                                  ,PBMN SCOOTER TASK FORCE,Active
PBMN SU                                                     ,PBMN SPECIALIZED UNITS,Active
PBMN SU PST                                                 ,PBMN PUBLIC SAFETY TEAMS,Active
PBMN TF                                                     ,NA,Inactive
PBMS                                                        ,PATROL BORO MAN SOUTH,Active
PBMS AC                                                     ,NA,Inactive
PBMS INV                                                    ,PBMS INVESTIGATIONS UNIT,Active
PBMS SC                                                     ,NA,Inactive
PBMS SCOOTER                                                ,PBMS SCOOTER TASK FORCE,Active
PBMS SU                                                     ,PBMS SPECIALIZED UNITS,Active
PBMS SU PST                                                 ,PBMS PUBLIC SAFETY TEAMS,Active
PBMS TF                                                     ,NA,Inactive
PBQ/N                                                       ,NA,Inactive
PBQ/S                                                       ,NA,Inactive
PBQN                                                        ,PATROL BORO QUEENS NORTH,Active
PBQN AC                                                     ,NA,Inactive
PBQN CITI FLD                                               ,PBQN CITI FIELD DETAIL,Active
PBQN INV UNIT                                               ,PBQN INVESTIGATIONS UNIT,Active
PBQN SC                                                     ,NA,Inactive
PBQN SU                                                     ,NA,Inactive
PBQN SU PST                                                 ,PBQN PUBLIC SAFETY TEAMS,Active
PBQNT/F                                                     ,NA,Inactive
PBQS                                                        ,PATROL BORO QUEENS SOUTH,Active
PBQS AC                                                     ,NA,Inactive
PBQS INV UNIT                                               ,PBQS INVESTIGATIONS UNIT,Active
PBQS SC                                                     ,NA,Inactive
PBQS SU                                                     ,NA,Inactive
PBQS SU PST                                                 ,PBQS PUBLIC SAFETY TEAMS,Active
PBQST/F                                                     ,NA,Inactive
PBSI                                                        ,PATROL BORO STATEN ISLAND,Active
PBSI AC                                                     ,NA,Inactive
PBSI DO                                                     ,NA,Inactive
PBSI INV UNIT                                               ,PBSI INVESTIGATIONS UNIT,Active
PBSI SU                                                     ,NA,Inactive
PBSI SU FERRY                                               ,PBSI FERRY SECURITY UNIT,Active
PBSI SU PST                                                 ,PBSI PUBLIC SAFETY TEAMS,Active
PBSI TF                                                     ,NA,Inactive
PCO                                                         ,POLICE COMMISSIONER,Active
PCO C U                                                     ,NA,Inactive
PCO L U                                                     ,NA,Inactive
PCO QAD                                                     ,NA,Inactive
PCO RTC                                                     ,NA,Inactive
PEN SEC                                                     ,NA,Inactive
PER BUR                                                     ,NA,Inactive
PHOTO-U                                                     ,PHOTO UNIT,Active
PI&REQ                                                      ,NA,Inactive
PLT MGT                                                     ,NA,Inactive
POD                                                         ,PERSONNEL ORDERS DIVISION,Active
POL ACAD                                                    ,POLICE ACADEMY,Active
POL ACD                                                     ,NA,Inactive
POL LAB                                                     ,POLICE LABORATORY,Active
POL PEN                                                     ,NA,Inactive
POL PENSION                                                 ,POLICE PENSION FUND,Active
PRINTS                                                      ,NA,Inactive
PROP CLK                                                    ,PROPERTY CLERK DIV,Active
PROPCLK                                                     ,NA,Inactive
PSA 1                                                       ,HOUSING PSA 1,Active
PSA 2                                                       ,HOUSING PSA 2,Active
PSA 3                                                       ,HOUSING PSA 3,Active
PSA 4                                                       ,HOUSING PSA 4,Active
PSA 5                                                       ,HOUSING PSA 5,Active
PSA 6                                                       ,HOUSING PSA 6,Active
PSA 7                                                       ,HOUSING PSA 7,Active
PSA 8                                                       ,HOUSING PSA 8,Active
PSA 9                                                       ,HOUSING PSA 9,Active
PSA 9 JRIP                                                  ,PSA 9 JUVENILE ROB INTERV PRGM,Active
PSA1 VIPER13                                                ,PSA 1 VIPER 13,Active
PSA2 VIPER2                                                 ,PSA 2 VIPER 2,Active
PSA4 VIPER6                                                 ,PSA 4 VIPER 6,Active
PSA5 VIPER12                                                ,PSA 5 VIPER 12,Active
PSA6 VIPER1                                                 ,PSA 6 VIPER 1,Active
PSA7 VIPER11                                                ,PSA 7 VIPER 11,Active
PSA8 VIPER4                                                 ,PSA 8 VIPER 4,Active
PSA9 VIPER3                                                 ,PSA 9 VIPER 3,Active
PSAC II SEC                                                 ,PSAC II SECURITY,Active
PSB IES                                                     ,INVESTIGATION & EVALUATION SECT,Active
PSB NPASU                                                   ,PSB NBHD POLICING ANALYSIS & SUPP UNIT,Active
PSB RMS                                                     ,RESOURCE MANAGEMENT SECTION,Active
PUBLIC SECUR                                                ,PUBLIC SECURITY SECTION,Active
Q CHILD                                                     ,QUEENS CHILD ABUSE SQUAD,Active
Q COURT                                                     ,QNS COURT SECTION,Active
Q NIGHT WATCH                                               ,QUEENS NIGHT WATCH,Active
Q SVS                                                       ,QUEENS SPECIAL VICTIMS SQUAD,Active
Q WARRANT SQD                                               ,QUEENS WARRANT SQD,Active
Q/N-ND                                                      ,NA,Inactive
Q/S-ND                                                      ,NA,Inactive
QA DCSI                                                     ,NA,Inactive
QAD 1DC                                                     ,NA,Inactive
QAD DIU                                                     ,QAD DATA INTEGRITY UNIT,Active
QB SSZC                                                     ,NA,Inactive
QB SSZN                                                     ,NA,Inactive
QDA CIU                                                     ,NA,Inactive
QM SEC                                                      ,QUARTERMASTER SECTION,Active
QN CRIME ANL                                                ,QN CRIME ANALYSIS UNIT,Active
QN GRAND LARC                                               ,QUEENS NORTH GRAND LARCENY SQD,Active
QN SU ALU                                                   ,QN AUTO LARCENY UNIT,Active
QN SU ECT                                                   ,QN EVIDENCE COLLECTION TEAM,Active
QN TRANSIT ROB                                              ,QUEENS TRANSIT ROBBERY SQUAD,Active
QN VICE                                                     ,QUEENS NORTH VICE MODULE,Active
QNROBSQ                                                     ,QUEENS ROBBERY SQUAD,Active
QNS CT                                                      ,NA,Inactive
QS CRIME ANL                                                ,QS CRIME ANALYSIS UNIT,Active
QS GANG                                                     ,NA,Inactive
QS GRAND LARC                                               ,QUEENS SOUTH GRAND LARCENY SQD,Active
QS HOMICIDE                                                 ,QUEENS SOUTH OPER HOMICIDE SQD,Active
QS IRT                                                      ,NA,Inactive
QS NARC                                                     ,NA,Inactive
QS SU ECT                                                   ,QS EVIDENCE COLLECTION TEAM,Active
QS VICE                                                     ,QUEENS SOUTH VICE MODULE,Active
R M D                                                       ,RISK MITIGATION DIVISION,Active
REC SEC                                                     ,NA,Inactive
REC TNG                                                     ,NA,Inactive
RM BUR                                                      ,NA,Inactive
RMB                                                         ,RISK MANAGEMENT BUREAU,Active
RMB BODY CAM                                                ,RMB CD BODY WORN CAMERA UNIT,Active
RMB CD                                                      ,COMPLIANCE DIVISION,Active
RMB QAD                                                     ,QUALITY ASSURANCE DIVISION,Active
RMB QAD AUD MGT                                             ,RMB QAD AUDIT MANAGEMENT UNIT,Active
RMB TRAINING                                                ,RMB TRAINING UNIT,Active
RMD PAS                                                     ,PERFORMANCE ANALYSIS SEC,Active
RTC FACIAL ID                                               ,RTCC FACIAL IDENTIFICATION SEC,Active
RTC JUV CRM                                                 ,RTCC JUVENILE CRIME DESK,Active
RTCC                                                        ,REAL TIME CRIME CENTER,Active
RTCC INV SUPP                                               ,RTCC INVESTIGATIVE SUPPORT SEC,Active
RTCC SMART                                                  ,RTCC SOCIAL MEDIA ANALYSIS & RESEARCH TEAM,Active
RTS ADM                                                     ,RTS ADMIN STAFF,Active
RTS RECRUIT                                                 ,RTS RECRUITS,Active
S O D                                                       ,NA,Inactive
S P I S                                                     ,NA,Inactive
S S B                                                       ,NA,Inactive
S T D                                                       ,NA,Inactive
S.I. CT                                                     ,NA,Inactive
SAT B/N                                                     ,NA,Inactive
SAT QS                                                      ,NA,Inactive
SATDOPS                                                     ,NA,Inactive
SATHOPS                                                     ,NA,Inactive
SATNOPS                                                     ,NA,Inactive
SCUBA UNIT                                                  ,SCUBA UNIT,Active
SHIELD & ID                                                 ,"SHIELD, ID, & UNIFORMED SERVICES UNIT",Active
SI COURT                                                    ,STATEN ISLAND COURT SECTION,Active
SI CRIME ANL                                                ,SI CRIME ANALYSIS UNIT,Active
SI DO                                                       ,NA,Inactive
SI EMER                                                     ,NA,Inactive
SI GRAND LARC                                               ,STATEN ISLAND GRAND LARCENY SQD,Active
SI HOMICIDE                                                 ,STATEN ISLAND OPER HOMICIDE SQD,Active
SI HWYP                                                     ,NA,Inactive
SI IRT                                                      ,NA,Inactive
SI OP NIGHT                                                 ,STATEN ISLAND OPER NIGHT WATCH,Active
SI SCSU                                                     ,NA,Inactive
SI SU ECT                                                   ,SI EVIDENCE COLLECTION TEAM,Active
SI SVS                                                      ,STATEN ISLAND SPECIAL VICTIMS SQUAD,Active
SIHU                                                        ,NA,Inactive
SOD HOU                                                     ,NA,Inactive
SOD SRG                                                     ,NA,Inactive
SOD T/U                                                     ,NA,Inactive
SP FRDS                                                     ,SPECIAL FRAUDS SQUAD,Active
SP INV                                                      ,NA,Inactive
SPL TRN                                                     ,SPECIALIZED TRAINING SECTION,Active
SPORTS UNIT                                                 ,H&WELL SPORTS UNIT,Active
SPRING 3100                                                 ,SPRING 3100,Active
SRG                                                         ,STRATEGIC RESPONSE GROUP,Active
SRG 04                                                      ,STRATEGIC RESP GRP 4 QUEENS,Active
SRG 05                                                      ,STRATEGIC RESP GRP 5 SI,Active
SRG 1                                                       ,STRATEGIC RESP GRP 1 MANHATTAN,Active
SRG 2                                                       ,STRATEGIC RESP GRP 2 BRONX,Active
SRG 3                                                       ,STRATEGIC RESP GRP 3 BROOKLYN,Active
SRG 4                                                       ,NA,Inactive
SRG 5                                                       ,NA,Inactive
SS DIV                                                      ,SCHOOL SAFETY DIVISION,Active
SS INV                                                      ,NA,Inactive
SS MBZ                                                      ,NA,Inactive
SS QBSZ                                                     ,NA,Inactive
SSB                                                         ,SUPPORT SERVICES BUREAU,Active
SSB INV                                                     ,SSB INVESTIGATIONS UNIT,Active
SSD INV                                                     ,SSD INVESTIGATIONS UNIT,Active
STAFFSV                                                     ,NA,Inactive
STD                                                         ,STRATEGIC TECHNOLOGY DIVISION,Active
STR FOR                                                     ,NA,Inactive
STR FORCE                                                   ,STRIKE FORCE,Active
SVD DATA ANL                                                ,SVD DATA ANALYSIS GROUP,Active
SVD DNA COLD                                                ,DNA COLD CASE SQUAD,Active
SVD IRTU                                                    ,SVD INSTANT RESPONSE TRK UNIT,Active
SVD LIAISON                                                 ,SVD LIAISON UNIT,Active
SVD NIGHT                                                   ,SVD NIGHT WATCH,Active
SVD SOMU                                                    ,SEX OFFENDER MONITORING UNIT,Active
SVD STRANGER                                                ,STRANGER RAPE COLD CASE SQUAD,Active
SVD Z1                                                      ,SPECIAL VICTIMS DIV ZONE 1,Active
SVD Z2                                                      ,NA,Inactive
SVD Z3                                                      ,SPECIAL VICTIMS DIV ZONE 3,Active
T.A.R.U                                                     ,NA,Inactive
TARU                                                        ,TECH. ASSIST. & RESPONSE UNIT,Active
TAXI SQ                                                     ,NA,Inactive
TAXI UT                                                     ,NA,Inactive
TB                                                          ,TRANSIT BUREAU,Active
TB ATER                                                     ,NA,Inactive
TB ATU                                                      ,TB ANTI TERRORISM UNIT,Active
TB BK                                                       ,TRANSIT BORO BROOKLYN,Active
TB BK TF                                                    ,TRANSIT BORO BKLYN TASK FORCE,Active
TB BKTF                                                     ,NA,Inactive
TB BQTF                                                     ,NA,Inactive
TB BX                                                       ,NA,Inactive
TB BX QNS                                                   ,TRANSIT BORO BRONX/QUEENS,Active
TB BX QNS TF                                                ,TRANSIT BORO BX/QNS TASK FORCE,Active
TB BX/Q                                                     ,NA,Inactive
TB BXTF                                                     ,NA,Inactive
TB C/AN                                                     ,NA,Inactive
